block_start,block_end,average_distance
1,31,0.339234375
2,32,0.365296875
3,33,0.39217578125
4,34,0.43405859375
5,35,0.37628515625
6,36,0.30808203125
7,37,0.252990234375
8,38,0.30414453125
9,39,0.265869140625
10,40,0.25236328125
11,41,0.18663671875
12,42,0.266798828125
13,43,0.292158203125
14,44,0.21715234375
15,45,0.136302734375
16,46,0.1141494140625
17,47,0.12038671875
18,48,0.118716796875
19,49,0.121580078125
20,50,0.11672265625
21,51,0.09708203125
22,52,0.0904326171875
23,53,0.0899150390625
24,54,0.0888251953125
25,55,0.09225390625
26,56,0.10106640625
27,57,0.1009765625
28,58,0.091978515625
29,59,0.0868515625
30,60,0.0856953125
31,61,0.08676953125
32,62,0.49015625
