block_start,block_end,average_distance
1,25,0.25519140625
2,26,0.252869140625
3,27,0.304021484375
4,28,0.3688671875
5,29,0.198419921875
6,30,0.208796875
7,31,0.198099609375
8,32,0.1346669921875
9,33,0.0994365234375
10,34,0.101220703125
11,35,0.0786435546875
12,36,0.0806279296875
13,37,0.0807470703125
14,38,0.0713125
15,39,0.0709853515625
16,40,0.06986376953125
17,41,0.065533203125
18,42,0.06939990234375
19,43,0.06860302734375
20,44,0.0676787109375
21,45,0.066544921875
22,46,0.066671875
23,47,0.0612822265625
24,48,0.49376953125
